case_id,query,true_intent,baseline_intent,domain_aware_intent,multi_issue,symptom_domains,decision_hint
CASE_004537,Dear @AppleSupport: how do I fully reset an old iPhone that is mildly functional but so broken I can’t unlock it or actually reset it? @Appl,DISPLAY_TOUCH_SCREEN,ACCOUNT_APPLEID_ICLOUD,DISPLAY_TOUCH_SCREEN,True,"DISPLAY_TOUCH_SCREEN, HOW_TO_SETTINGS_CONFIGURATION",ESCALATE_MULTI_ISSUE
CASE_000294,@AppleSupport hi do you do additional memory for Ipad3? Thanks,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_001498,"@AppleSupport HELP !🙏🏻 I’ve updated my IPhone 6S and I received a message asking me to change my password to unlock my IPhone, using capital",KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,True,"KEYBOARD_TYPING_AUTOCORRECT, ACCOUNT_APPLEID_ICLOUD",ESCALATE_MULTI_ISSUE
CASE_002724,@AppleSupport is there a section in the phone where I can see the health of my battery?,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,False,BATTERY_CHARGING_POWER,PROCEED
CASE_002801,Why this stupid ios keeps turning the wifi and bluetooth on every time???  @AppleSupport @AppleSupport I have the lastest version and I keep,CONNECTIVITY_WIFI_BLUETOOTH,CONNECTIVITY_WIFI_BLUETOOTH,CONNECTIVITY_WIFI_BLUETOOTH,False,CONNECTIVITY_WIFI_BLUETOOTH,PROCEED
CASE_005959,@115858 please fix this 👉🏽 I️ I️ I️ I️ @AppleSupport Thanks @AppleSupport my bug is fixed ❤️❤️,GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_005217,@AppleSupport Is it okay to play online games with my iphone while charging the battery? @AppleSupport Thanks!,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,False,BATTERY_CHARGING_POWER,PROCEED
CASE_005604,@115858 tells me my iPhone battery is fine yet I can’t go more than 2 hours without charging...,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,False,BATTERY_CHARGING_POWER,PROCEED
CASE_006100,Why the search tool on iOS 11 doesn’t find apps by name if they’re partially written? @AppleSupport,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,False,,PROCEED
CASE_003711,"Yo, @115858 and @AppleSupport, fix your uppercased letter “i” issue. @AppleSupport @485691 Go beta, @485691! 11.1 seems to have it fixed. I ",GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,False,,PROCEED
CASE_005348,".@115858 this I️ glitch is the worst thing ever. How is this not fixed yet??? @AppleSupport Thank you for your response.  I have done that, ",OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,False,,PROCEED
CASE_002600,"@115858 TAKE OFF THAT AUTO BRIGHTNESS BULLSHIT @AppleSupport Thank b, sorry",DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,False,DISPLAY_TOUCH_SCREEN,PROCEED
CASE_007681,Somebody help a dude out. @115858 my iPod just completely froze like this for the last two hours and the touch screen doesn't work and I can,DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,False,DISPLAY_TOUCH_SCREEN,PROCEED
CASE_003090,#IphoneXPreOrder #iPhoneX @AppleSupport still no confirmation email in regards to my ‘reserved’ iPhone because of ‘couldn’t reach carrier’ @,CONNECTIVITY_WIFI_BLUETOOTH,HOW_TO_SETTINGS_CONFIGURATION,GENERAL_DEVICE_INQUIRY,False,,PROCEED
CASE_003204,"Dear @917 and @115858, my iphone just died on 78% while trying to send a snap - WAGWAN? I love #snapchat but I feel I can't use it without m",BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,False,BATTERY_CHARGING_POWER,PROCEED
