case_id,intent,customer_message,draft_reply,judge_intent_score,judge_grounding_score,judge_helpfulness_score,judge_unsupported_claim_score,judge_overall_score,judge_reason
CASE_007666,DISPLAY_TOUCH_SCREEN,@115858 #MacbookPro has been doing this on cycle none stop. Not sure what is happening. Any help? Purple ish screen @AppleSupport https://t.co/1v9926e3Vu @AppleSupport Not working. Purple screen and loading bar,"We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",1,1,1,2,3,Intent matching is partial; Grounding is provisional; Actionability is moderate.
CASE_000589,DISPLAY_TOUCH_SCREEN,"@115858 what’s with this auto brightness shit, pls let us disable it @AppleSupport oh thanks! good looks","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Clean display & remove screen protector/case.
2. Force restart your device (press and hold the Power and Volume Down / Home buttons until the Apple logo appears).
3. Update iOS or backup and restore via iTunes.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/bkqEVCrK2l",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_005251,DISPLAY_TOUCH_SCREEN,@AppleSupport Hi! Found a bug in iOS 11.1 running on iPhone X. The top part screen becomes unresponsive and unusable after ending a call https://t.co/cij2H2DAT3 @AppleSupport I shall try restarting and let you know! Thanks. @AppleSupport The issue still persists.,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Clean display & remove screen protector/case.
2. Force restart your device (press and hold the Power and Volume Down / Home buttons until the Apple logo appears).
3. Update iOS or backup and restore via iTunes.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/OWRDHWSt4h",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_006030,DISPLAY_TOUCH_SCREEN,"@AppleSupport the iOS 11.0.3 update, how the screen looks going back to home, is seriously messing with my #Menieres disease. How to fix? @AppleSupport DM’d you, thank you.","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Clean display & remove screen protector/case.
2. Force restart your device (press and hold the Power and Volume Down / Home buttons until the Apple logo appears).
3. Update iOS or backup and restore via iTunes.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/80YRnjDFDk",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_004692,GENERAL_DEVICE_INQUIRY,@AppleSupport please bring support for #Gmail aliases to the #iOS #Mail app! Exists in #MacOS already... @AppleSupport Thanks guys! 👍😊,"We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",1,1,1,2,3,Intent matching is partial; Grounding is provisional; Actionability is moderate.
CASE_004217,GENERAL_DEVICE_INQUIRY,@115858 sooo when are you guys going to fix this issue so every time I say I️ it doesn’t go to an A ? This shit is annoying. @AppleSupport Thanks,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Verify device model and serial number in Settings > General > About.
2. Check official Apple Support documentation.
3. Contact Apple Authorized Service Provider if needed.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/xXaXeeSRt9",2,2,2,2,5,Intent matching is strong; Grounding is fully verified; Actionability is high.
CASE_003583,GENERAL_DEVICE_INQUIRY,@AppleSupport what’s with the “i “ autocorrection to i️,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Connect to Wi-Fi and power source.
2. Settings.
3. General.
4. Connect to Wi-Fi and power, then go to Settings > General > Software Update to install the latest available update.
5. Ensure sufficient free storage or update via iTunes.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/xXaXeeSRt9",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_006569,GENERAL_DEVICE_INQUIRY,"#Apple making go round in circles when I reported problem in IPhone 7 Plus, guess they are too busy promoting their IPhone10 @AppleSupport @AppleSupport My new #Apple IPhone 7plus, despite visiting service centres from Delhi to Bangalore,my mobile hang issues are still continue @AppleSupport I have done this exercise many times over with your support team on DM as well as had many rounds in your service centres @585060 @AppleSupport customer support and satisfaction is very essential","We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Toggle Airplane Mode on, wait a few seconds, then turn it back off.
2. Go to Settings > Wi-Fi, tap the info icon next to your network, select 'Forget This Network', and reconnect.
3. Settings.
4. General.
5. Reset.
6. Go to Settings > General > Reset > Reset Network Settings (note: this will reset saved Wi-Fi passwords).

Please let us know if this helps resolve the issue.",1,2,2,2,4,Intent matching is partial; Grounding is fully verified; Actionability is high.
CASE_001079,KEYBOARD_TYPING_AUTOCORRECT,"@123765 @115858 Well, so I write this nice tweet about our favorite Japanese restaurant. I decide to geo-locate. Twitter wants permission to locate the phone, pops up the keyboard at the same time. Now the app is locked. Only way out is closing Twitter altogether. https://t.co/Q9KEKfOSIH @AppleSupport Yes. @AppleSupport one-time issue","We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",1,1,1,2,3,Intent matching is partial; Grounding is provisional; Actionability is moderate.
CASE_001498,KEYBOARD_TYPING_AUTOCORRECT,"@AppleSupport HELP !🙏🏻 I’ve updated my IPhone 6S and I received a message asking me to change my password to unlock my IPhone, using capital letters, lower case and digits. But now I can’t unlock my iPhone because the keyboard shows only digits. What can I do? 😭 @AppleSupport Thank you for your help, I have just sent you a DM 🙂","We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",1,1,1,2,3,Intent matching is partial; Grounding is provisional; Actionability is moderate.
