intent_id,intent_description,customer_message,thread_root_id,resolution_status,review_decision,review_notes
KEYBOARD_TYPING_AUTOCORRECT,"Keyboard unresponsiveness, predictive text malfunctions, and autocorrect glyph glitches (including the iOS 11 letter 'I' substitution bug).",When is @115858 going to fix this annoying keyboard glitch? 🤔 @AppleSupport Thank you kindly,2141595,PARTIALLY_RESOLVED,,
KEYBOARD_TYPING_AUTOCORRECT,"Keyboard unresponsiveness, predictive text malfunctions, and autocorrect glyph glitches (including the iOS 11 letter 'I' substitution bug).",@AppleSupport  why can’t I update my apps and i️t says “your Apple ID has been disabled “ @AppleSupport it didn’t work :(,2276357,PARTIALLY_RESOLVED,,
KEYBOARD_TYPING_AUTOCORRECT,"Keyboard unresponsiveness, predictive text malfunctions, and autocorrect glyph glitches (including the iOS 11 letter 'I' substitution bug).","@AppleSupport hi, whats going on with everything on iOS 11? My battery dies faster, my keyboard freezes sometimes and my apps won’t update @AppleSupport This is iOS 11.0.2 but as I was checking, my phone told me I had an update to 11.0.3, so I’ll do ",823168,CLEARLY_RESOLVED,,
KEYBOARD_TYPING_AUTOCORRECT,"Keyboard unresponsiveness, predictive text malfunctions, and autocorrect glyph glitches (including the iOS 11 letter 'I' substitution bug).","@AppleSupport When my iPhone X is locked, is there a way to access the Notifications Center without first unlocking the phone first? @AppleSupport Negative. Just tried that. Even after unlocking a type from top left wouldn’t work until I swiped the h",2363018,CLEARLY_RESOLVED,,
KEYBOARD_TYPING_AUTOCORRECT,"Keyboard unresponsiveness, predictive text malfunctions, and autocorrect glyph glitches (including the iOS 11 letter 'I' substitution bug).",@AppleSupport  did you fix the keyboard issue yet? I️ @AppleSupport @213965 Ive installed IOS 11.1.1 and my keyboard is very slow. My screen is rotating even when portrait rotation lock is on. I am unhappy. @AppleSupport Just did update.  I’ll see ho,2573888,CLEARLY_RESOLVED,,
BATTERY_CHARGING_POWER,"Rapid battery drain, slow or failed charging, device overheating, or unexpected power shutdown.","@AppleSupport good evening, I think my battery is getting low too fast. Can you run a test, please? @AppleSupport Thank you for your quick answer. It's an IPhone 6, 10.3.3 @AppleSupport Thank you",2424337,PARTIALLY_RESOLVED,,
BATTERY_CHARGING_POWER,"Rapid battery drain, slow or failed charging, device overheating, or unexpected power shutdown.",@AppleSupport I've been using my phone for less than 20 minutes and have watched it drop over 40% in battery... help?????? @AppleSupport 6s and iOS 11.0.3,2249982,PARTIALLY_RESOLVED,,
BATTERY_CHARGING_POWER,"Rapid battery drain, slow or failed charging, device overheating, or unexpected power shutdown.","I’m seriously regretting updating my phone to IOS 11. My battery life has been cut in half if not more. @115858 please please please fix this. @AppleSupport iPhone SE, IOS 11.1.2 @AppleSupport Thank you, but I hope you guys come out with a fix to thi",2757476,PARTIALLY_RESOLVED,,
BATTERY_CHARGING_POWER,"Rapid battery drain, slow or failed charging, device overheating, or unexpected power shutdown.",@115858 @AppleSupport wht kind of update is ios11 My phn 6s been showin only white screen with black apple logo since 4 hrs. Phn dead nw Help @115858 @AppleSupport it again becum dead. Heard of 2 more sets with same issue. They resolved by goin to se,1347730,CLEARLY_RESOLVED,,
BATTERY_CHARGING_POWER,"Rapid battery drain, slow or failed charging, device overheating, or unexpected power shutdown.",someone help!! my phone froze &amp; I tried doing the restart by pushing the off &amp; home button @ the same time &amp; it turned off then went to this screen &amp; won't turn on. It stays on this screen &amp; after a couple minutes turns off so I p,667074,CLEARLY_RESOLVED,,
CONNECTIVITY_WIFI_BLUETOOTH,"Inability to connect to, maintain connection with, or discover WiFi networks, Bluetooth accessories, Cellular data, or AirDrop.","@AppleSupport hi! My Apple Maps and any apps using Apple maps doesn’t work. It won’t load the map. I have an iPhone X with iOS 11.1.2. Help! https://t.co/qkyxM5GEM1 @AppleSupport Google maps works! @AppleSupport Yes, it wouldn’t work no matter where ",2614264,CLEARLY_RESOLVED,,
CONNECTIVITY_WIFI_BLUETOOTH,"Inability to connect to, maintain connection with, or discover WiFi networks, Bluetooth accessories, Cellular data, or AirDrop.",@AppleSupport @115858 why does my Bluetooth and wifi turn on automatically on iOS 11?,1335503,PARTIALLY_RESOLVED,,
CONNECTIVITY_WIFI_BLUETOOTH,"Inability to connect to, maintain connection with, or discover WiFi networks, Bluetooth accessories, Cellular data, or AirDrop.","@AppleSupport hi, I'm having trouble installing ios 11 and my phone keeps saying there's an error. What should I do? @AppleSupport I'm trying to do it over wi-fi. I'm able to download the update but there's an error every time I try to install @Apple",2568137,CLEARLY_RESOLVED,,
CONNECTIVITY_WIFI_BLUETOOTH,"Inability to connect to, maintain connection with, or discover WiFi networks, Bluetooth accessories, Cellular data, or AirDrop.",My iPhone was stuck on “updating iCloud settings” for iOS 11.1 for six hours and this is the BS I return to #WTF https://t.co/PoOY3tNmPr @501104 Same here. And now I don’t have internet connection unless connected to WiFi @AppleSupport thanks a lot. ,1638759,PARTIALLY_RESOLVED,,
CONNECTIVITY_WIFI_BLUETOOTH,"Inability to connect to, maintain connection with, or discover WiFi networks, Bluetooth accessories, Cellular data, or AirDrop.","Help!! My iPhone 5s keeps searching for a network, what to do? @AppleSupport https://t.co/YxCzPLWSv5 @AppleSupport I have WiFi, but i can’t send texts or call. No problems with the card! I’m using the first version of iOS 11 @AppleSupport Thank you!",910527,CLEARLY_RESOLVED,,
DISPLAY_TOUCH_SCREEN,"Touchscreen unresponsiveness, display freezing, screen flickering, brightness adjustments, or biometric authentication (Face ID / Touch ID).",@AppleSupport my iPhone SE screen is not working after #ios11.1 update. Twice the phone have restarted itself. looks like i am in mess now @AppleSupport Thanks - I got it restored to 11.0.2 apple service Center in Philippines- will wait some more tim,1442413,CLEARLY_RESOLVED,,
DISPLAY_TOUCH_SCREEN,"Touchscreen unresponsiveness, display freezing, screen flickering, brightness adjustments, or biometric authentication (Face ID / Touch ID).",@115858 where is auto brightness on the newest update?? This is driving me nuts @AppleSupport Thank you! @AppleSupport Thanks! You too!,430139,CLEARLY_RESOLVED,,
DISPLAY_TOUCH_SCREEN,"Touchscreen unresponsiveness, display freezing, screen flickering, brightness adjustments, or biometric authentication (Face ID / Touch ID).","@115858 every update generate new conflicts. Now I have a problem, not recognise my Touch id. before update iOS 11.1 my touch id working. @AppleSupport @683820 Has this problem solved ? I have the same problem too",2369508,CLEARLY_RESOLVED,,
DISPLAY_TOUCH_SCREEN,"Touchscreen unresponsiveness, display freezing, screen flickering, brightness adjustments, or biometric authentication (Face ID / Touch ID).",@AppleSupport 40 minutes trying to get #quicktime to work effectively. Spinning beach ball with my screen recordings and nothing but wasted time and dropped frames. I have nothing to show for my work and now I have no more time. FCP isn't better in t,1216352,CLEARLY_RESOLVED,,
DISPLAY_TOUCH_SCREEN,"Touchscreen unresponsiveness, display freezing, screen flickering, brightness adjustments, or biometric authentication (Face ID / Touch ID).",@AppleSupport Does Face ID’s infrared damage eyes if used constantly during the day? @AppleSupport Thanks. That was very helpful. Under Safety it mentions Face ID is face under “normal usage conditions”. We were wondering about your definition of “no,1571024,CLEARLY_RESOLVED,,
ACCOUNT_APPLEID_ICLOUD,"Apple ID account login issues, password reset, two-factor authentication verification, activation lock, and iCloud storage management.",@AppleSupport What do I need to do so that back ups aren’t storing so much data in my iCloud. 1/2 of the usage is from backups.,2307012,PARTIALLY_RESOLVED,,
ACCOUNT_APPLEID_ICLOUD,"Apple ID account login issues, password reset, two-factor authentication verification, activation lock, and iCloud storage management.",@AppleSupport updated to iPhoneX and all my activity achievements are lost. Even my special ones. How Can I fix this? @AppleSupport Thanks! Unfortunately I didn’t because iCloud wasn’t backing up my previous phone’s data so I started anew but was abl,2295886,CLEARLY_RESOLVED,,
ACCOUNT_APPLEID_ICLOUD,"Apple ID account login issues, password reset, two-factor authentication verification, activation lock, and iCloud storage management.",Damn never thought for a minute that you would let me down @AppleSupport 😔 the fact i had to make an appointment and never been called👎🏼#boo @AppleSupport I've been waiting a full whole day to get help. I'm on vacation and on Aruba it's limited for h,284421,CLEARLY_RESOLVED,,
ACCOUNT_APPLEID_ICLOUD,"Apple ID account login issues, password reset, two-factor authentication verification, activation lock, and iCloud storage management.","What I want to say about the iPhone X upgrade won't fit in 140 characters. Suffice to say: Not happy @115858 @115858 I strayed in the garden wall. I followed the default prompts. I even backed up my iPhone 7 Plus to iTunes, with encryption @115858 (t",1575123,CLEARLY_RESOLVED,,
ACCOUNT_APPLEID_ICLOUD,"Apple ID account login issues, password reset, two-factor authentication verification, activation lock, and iCloud storage management.","@AppleSupport help! I keep getting an error trying to view my photos! Have plenty of space on both iCloud and my phone but the full res images are impossible to view! It’s getting right on my nerves!!! 😡 @AppleSupport Thanks, will get in touch...",596860,PARTIALLY_RESOLVED,,
APP_STORE_PURCHASES_BILLING,"App Store purchases, in-app billing, Apple Music subscriptions, duplicate charges, payment methods, and refund requests.","@AppleSupport I purchased on iTunes tho I am unable to download it due to space, is it still purchased? I want download it to my Apple iPad when I get it. @AppleSupport It’s not an App it is a Movie. If I had to delete it off my phone due to space wi",667835,CLEARLY_RESOLVED,,
APP_STORE_PURCHASES_BILLING,"App Store purchases, in-app billing, Apple Music subscriptions, duplicate charges, payment methods, and refund requests.",So close to switching back to an Andorid.. @115858 gives me more problems than anything. Woke up and my phone said I don't have an apple music account (I do) an erased all of my music off of my phone.,2417418,PARTIALLY_RESOLVED,,
