golden_id,source_id,customer_message,ground_truth_intent,ground_truth_customer_goal,ground_truth_issues,ground_truth_action,escalation_required,evidence_expectation,expected_reply_requirements,edge_case_category,human_reasoning
GOLDEN_0001,SRC_ROOT_1573015,Why the fuck can’t I type the letter I on this expensive ass phone @115858,KEYBOARD_TYPING_AUTOCORRECT,Resolve the autocorrect bug replacing the letter 'I' with a symbol/question box,"[""autocorrect_letter_i_bug"", ""keyboard_substitution_glitch""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""Acknowledge the known letter 'I' predictive text autocorrect glitch"", ""Provide the verified text replacement workaround (Settings > General > Keyboard > Text Replacement)"", ""Mention updating to iOS 11.1.1 which permanently fixes the autocorrect issue"", ""Maintain an empathetic and de-escalating customer service tone despite profanity""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE"", ""UNUSUAL_WORDING""]",Clear report of the widely documented iOS 11 letter 'I' autocorrect bug. Standard resolution exists via text replacement or the 11.1.1 update; does not require human escalation.
GOLDEN_0002,SRC_ROOT_1573018,IM FUCKING TIRED OF THIS AUTOCORRECT. FIX IT DAMNIT @AppleSupport,KEYBOARD_TYPING_AUTOCORRECT,Get assistance fixing persistent keyboard autocorrect malfunctions,"[""autocorrect_malfunction"", ""frustrated_sentiment""]",GUIDE,False,MODERATE_HISTORICAL_EVIDENCE,"[""De-escalate customer frustration professionally without matching hostility"", ""Offer initial troubleshooting for autocorrect: reset keyboard dictionary in Settings > General > Reset"", ""Explain how to check or disable Auto-Correction under Settings > General > Keyboard"", ""Avoid demanding unnecessary device diagnostic info upfront before giving basic steps""]","[""SHORT_VAGUE"", ""ESCALATION_SENSITIVE""]",Vague customer grievance regarding autocorrect with high frustration. Can be safely guided through standard keyboard dictionary reset steps before considering escalation.
GOLDEN_0003,SRC_ROOT_1573109,@115858 if ur ploy to get me to buy an iPhoneX is autocorrecting I to an A and a giant question mark box it’s working,KEYBOARD_TYPING_AUTOCORRECT,Stop the iOS letter 'I' autocorrect substitution bug,"[""letter_i_substitution"", ""symbol_question_mark_glyph""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""Acknowledge the specific 'A [?]' character glitch directly"", ""Point user to the iOS 11.1.1 software update or temporary text replacement shortcut"", ""Do not suggest unrelated keyboard hardware replacement or device restore""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE"", ""UNUSUAL_WORDING""]",Sarcastic wording referencing the iOS 11 letter 'I' bug. Well-grounded in historical resolution cases; auto-handling with guidance is the correct policy.
GOLDEN_0004,SRC_ROOT_1573650,@AppleSupport @115858 thanks a lot for the update that now autocorrects ‘i’ to some random exclamation mark and a box question mark. How do I fix this?,KEYBOARD_TYPING_AUTOCORRECT,Learn how to remove the exclamation mark and box question mark autocorrect substitution,"[""autocorrect_glyph_corruption"", ""letter_i_bug""]",ANSWER,False,STRONG_HISTORICAL_EVIDENCE,"[""Directly answer how to resolve: update to iOS 11.1.1 or configure Text Replacement for uppercase 'I'"", ""Provide exact path: Settings > General > Keyboard > Text Replacement"", ""Keep instructions clear and actionable""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Direct question ('How do I fix this?'). Exact procedure is verified and historically proven. Direct answer/guide is fully sufficient.
GOLDEN_0005,SRC_ROOT_1574012,@AppleSupport my predictive text bar disappeared above my keyboard after updating. How do I turn it back on?,KEYBOARD_TYPING_AUTOCORRECT,Restore the predictive text bar on the keyboard,"[""predictive_text_bar_missing""]",ANSWER,False,STRONG_HISTORICAL_EVIDENCE,"[""Explain how to re-enable Predictive text: Settings > General > Keyboard > toggle Predictive ON"", ""Mention the alternative gesture: press and hold the globe/emoji icon and slide to toggle Predictive"", ""Do not ask for device IMEI or request an in-person Genius Bar appointment""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Standard informational configuration query. Supported by historical Apple Support responses with zero ambiguity.
GOLDEN_0006,SRC_ROOT_1574219,Keyboard is lagging so badly on my 6s after the update. Takes 3 seconds for letters to appear when typing in Messages @AppleSupport,KEYBOARD_TYPING_AUTOCORRECT,Eliminate keyboard typing lag and input latency,"[""keyboard_typing_lag"", ""delayed_input_response""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""Provide historical troubleshooting for keyboard lag: Reset Keyboard Dictionary (Settings > General > Reset > Reset Keyboard Dictionary)"", ""Recommend turning off predictive text temporarily to test latency"", ""Advise restarting the iPhone to clear temporary memory cache""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Typing latency on iPhone 6s is a classic software symptom addressed by resetting keyboard dictionary and restarting.
GOLDEN_0007,SRC_ROOT_1574880,"@AppleSupport I’ve already reset keyboard dictionary and updated to 11.1.1, but Gboard and SwiftKey still freeze and crash constantly.",KEYBOARD_TYPING_AUTOCORRECT,Resolve crashing with third-party keyboard extensions (Gboard / SwiftKey),"[""third_party_keyboard_crash"", ""troubleshooting_already_attempted"", ""recurring_issue""]",GUIDE,False,MODERATE_HISTORICAL_EVIDENCE,"[""Acknowledge that dictionary reset and iOS update were already completed"", ""Advise checking for app updates in the App Store for Gboard and SwiftKey"", ""Suggest deleting and reinstalling the third-party keyboard app or testing with the stock Apple keyboard"", ""Do not repeat the already failed dictionary reset step""]","[""FOLLOW_UP"", ""UNRESOLVED_FOLLOW_UP"", ""MULTI_ISSUE""]",Customer explicitly stated previous troubleshooting was attempted. Agent must respect conversation state and offer next-tier guidance (third-party app update/reinstall).
GOLDEN_0008,SRC_ROOT_1575102,@AppleSupport keyboard broken,KEYBOARD_TYPING_AUTOCORRECT,Get help diagnosing unspecified keyboard issue,"[""unspecified_keyboard_issue""]",CLARIFY,False,INSUFFICIENT_HISTORICAL_EVIDENCE,"[""Ask clarifying questions to identify whether the issue is physical touch unresponsiveness, typing lag, or autocorrect"", ""Inquire which app the issue occurs in and what iPhone model is being used"", ""Keep the response concise and supportive without diagnosing prematurely""]","[""SHORT_VAGUE"", ""INSUFFICIENT_EVIDENCE""]","Extremely short query (2 words). Impossible to determine whether keyboard is lagging, autocorrecting incorrectly, or touch screen hardware is broken. Genuinely requires clarification."
GOLDEN_0009,SRC_ROOT_1575401,@AppleSupport My emoji keyboard completely disappeared. Only the English keyboard shows and the globe icon is missing.,KEYBOARD_TYPING_AUTOCORRECT,Restore the missing Emoji keyboard and globe switch button,"[""emoji_keyboard_missing"", ""globe_icon_missing""]",ANSWER,False,STRONG_HISTORICAL_EVIDENCE,"[""Provide exact steps to re-add the Emoji keyboard: Settings > General > Keyboard > Keyboards > Add New Keyboard > Emoji"", ""Explain that the globe icon reappears once more than one keyboard is enabled"", ""Provide clear, direct guidance without unnecessary escalation""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Standard configuration inquiry. The globe icon disappears when only 1 keyboard layout is active. Direct answer is 100% effective.
GOLDEN_0010,SRC_ROOT_1575900,@AppleSupport when I type 'it' it autocorrects to 'I.T' every single time. It's driving me insane.,KEYBOARD_TYPING_AUTOCORRECT,Prevent the word 'it' from being incorrectly autocorrected to 'I.T',"[""unwanted_autocorrect_substitution"", ""capitalization_glitch""]",GUIDE,False,STRONG_HISTORICAL_EVIDENCE,"[""Advise creating a Text Replacement shortcut in Settings > General > Keyboard > Text Replacement with phrase 'it' and shortcut 'it'"", ""Explain that resetting the keyboard dictionary (Settings > General > Reset > Reset Keyboard Dictionary) removes learned bad substitutions"", ""Maintain an understanding, helpful tone""]","[""CLEAR_INTENT"", ""STRONG_EVIDENCE""]",Specific autocorrect behavior that occurs when the dictionary learns an erroneous acronym. Solved by text replacement shortcut or dictionary reset.
