query_case_id,thread_root_id,query_text,expected_intent,retrieved_intent_1,similarity_1,retrieved_case_1,retrieved_problem_1,failure_mode,explanation
CASE_003090,1338062,#IphoneXPreOrder #iPhoneX @AppleSupport still no confirmation email in regards to my ‘reserved’ iPhone because of ‘couldn’t reach carrier’ @,CONNECTIVITY_WIFI_BLUETOOTH,HOW_TO_SETTINGS_CONFIGURATION,0.7779,CASE_004888,@AppleSupport Got 2 confirm emails and numbers after ordering my #iPhoneX but only ordered 1. How do I check? @AppleSupp,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_002624,1089888,"So @AppleSupport, I thought login screens were a solved problem https://t.co/jsrq8i1aQA @AppleSupport Restart resolves it, but as a develope",ACCOUNT_APPLEID_ICLOUD,OS_UPDATE_SYSTEM_PERFORMANCE,0.6146,CASE_004544,So @AppleSupport  needs to fix that glitch pronto. I️ use I️ a lot and I️ need this corrected. Please and thank you 💁🏻 #,5. Lexical Overlap with Distinct Root Cause,"Retrieved case shares lexical keywords (e.g. store, account, music) but addresses a distinct support action."
CASE_006433,2425840,"@AppleSupport Trying to install the free SAMs app but iTunes won’t let me. This is crazy, and my card is good. https://t.co/q58j2A0Ktf @Appl",CONNECTIVITY_WIFI_BLUETOOTH,APP_STORE_PURCHASES_BILLING,0.6579,CASE_003243,"@AppleSupport hey Apple, why does my card keep getting declined on iTunes when I clearly have enough money etc to use it",2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_004304,1704008,Photos in #macOS High Sierra is SO buggy — I can't imagine it was in a hand of a single QA. And I even waited till 10.13.1. @AppleSupport yo,BATTERY_CHARGING_POWER,GENERAL_DEVICE_INQUIRY,0.8044,CASE_007691,"Caution, don’t upgrade to Apple OS X High Sierra.  Nothing but problems thereafter.  Should have waited @115858 @AppleSu",2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_005253,2123181,I got to a decent tech support guy called James who grasped the hearing difficulties &amp; solved the iCloud problem painlessly and professi,ACCOUNT_APPLEID_ICLOUD,AUDIO_SOUND_SPEAKER,0.5421,CASE_005935,@AppleSupport having an issue with volume of earpiece while on calls and lagging when finding contacts ever since i upda,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_003256,1403970,@AppleSupport Why the hell do you STILL require people to give you a card number to get FREE god damn apps?,GENERAL_DEVICE_INQUIRY,APP_STORE_PURCHASES_BILLING,0.7309,CASE_002247,Does anyone know why I now HAVE to add a credit card to update FREE #apps from the #AppStore? #Apple @AppleSupport Makes,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_000137,61082,Gotta wait til Friday! Meet me at the Apple Store at 8 a.m. — we’ll let you open the doors! #iPhone https://t.co/r9hFywLn3z @116333 Please s,OS_UPDATE_SYSTEM_PERFORMANCE,APP_CRASH_AND_DOWNLOAD,0.661,CASE_001190,"I understand y'all came out with the new phone and all but you don't have to bully me into buying it , it's on my Christ",1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_001375,557862,@AppleSupport Why My Phone Be Dying So Fast Tho ?,BATTERY_CHARGING_POWER,GENERAL_DEVICE_INQUIRY,0.834,CASE_004453,"@AppleSupport,
Why does our iPhone dies so quickly? Thank you.",1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_004341,1709218,"@115858 this new update is so bad, it might be time to switch over to a Galaxy. @115858 11.1 and 6S. Everything is slow. Messenger locks up.",DISPLAY_TOUCH_SCREEN,OS_UPDATE_SYSTEM_PERFORMANCE,0.7061,CASE_001659,@115858 This update has made the phone slower than ever!! https://t.co/rXx6iO1hCW,2. Multi-Issue Compound Query,Customer described multiple simultaneous issues; single-vector embedding blends symptoms.
CASE_005427,2179630,My phone just deleted my entire camera roll.........  I’m devasted 😭😭😭😭😭 Update - my pictures randomly are downloading back to my phone from,DISPLAY_TOUCH_SCREEN,GENERAL_DEVICE_INQUIRY,0.7552,CASE_002392,My phone has just deleted ALL my photos??? WHAT THE FUCK @AppleSupport @AppleSupport They are slowly coming back which i,3. Post-Update Symptom Ambiguity,"Customer framed specific hardware symptom around OS update, pulling general OS update cases."
CASE_007543,2805178,I’m getting very tired of this $1000 Iphone acting up ever since the iOS 11 update and 3 more updates and it’s still giving me fits @AppleSu,DISPLAY_TOUCH_SCREEN,APP_STORE_PURCHASES_BILLING,0.7295,CASE_001361,Thanks @AppleSupport for the wonderful new iOS that bugs my iPhone 6 out and now it’s completely useless. Now it keeps s,1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
CASE_006508,2446389,any1 else having issues with OS X High Sierra and not seeing or able to access flash drive? But multiple instances in Finder https://t.co/a3,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,0.6102,CASE_006550,"@AppleSupport @27417 I’ve done all steps to fix getting past this stage, even used a bootable flash... #PLEASEHELP https",1. Ultra-short or Vague Customer Query,Query lacks diagnostic specificity or symptom keywords; vector sits near generic dense region.
