case_id,customer_message,true_intent,predicted_intent,intent_confidence,top_similarity,intent_alignment,grounding_pass,grounding_severity,draft_reply,decision,reason_code,reason,ground_truth_label,ground_truth_rationale,classification_type,human_reference_label,human_rationale
CASE_007666,@115858 #MacbookPro has been doing this on cycle none stop. Not sure what is happening. Any help? Purple ish screen @AppleSupport https://t.co/1v9926e3Vu @AppleSupport Not working. Purple screen and loading bar,DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,0.9396442706790118,0.6432,0.0,True,NONE,We'd be happy to help with this. Not at all how we want you experiencing your Mac. Are you seeing anything on the screen when the shutdown happens? Glad to hear that things are working as expected again. Feel free to reach out if any questions come up. Let us know if this helps resolve the issue.,ESCALATE,WEAK_EVIDENCE,Top retrieval similarity (0.6432) is below the validated quality threshold (0.65).,SHOULD_ESCALATE,Retrieved evidence does not match customer's problem intent.,TRUE_ESCALATE,SHOULD_ESCALATE,Retrieved historical evidence is too generic or weakly related.
CASE_000589,"@115858 what’s with this auto brightness shit, pls let us disable it @AppleSupport oh thanks! good looks",DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,0.5968199932912374,0.8886,1.0,True,NONE,"We'd like to help get this sorted out. You certainly can. Let us show you how. Open Settings &gt; General &gt; Accessibility &gt; Display Accommodations. The toggle will be available there. If you're using iOS 10, you can find the alternate location here: https://t.co/bkqEVCrK2l Let us know if you have any questions along the way.",ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.5968) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_005251,@AppleSupport Hi! Found a bug in iOS 11.1 running on iPhone X. The top part screen becomes unresponsive and unusable after ending a call https://t.co/cij2H2DAT3 @AppleSupport I shall try restarting and let you know! Thanks. @AppleSupport The issue still persists.,DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,0.6235142551647216,0.7172,1.0,True,NONE,"We'd like to help get this sorted out. Thanks for reaching out. We want to help. What version of iOS is on this device? Go to Settings &gt; General &gt; About. Also, have you tried re-starting your device? Here’s how: https://t.co/OWRDHWSt4h Thanks for letting us know! If you have any other issues, let us know. We’re available every day from 5 a.m. Let us know if you have any questions along the way.",AUTO_HANDLE,STRONG_GROUNDED_EVIDENCE,Intent confidence and retrieval evidence exceed validated thresholds and the independent grounding check passed with no unsupported claims.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,TRUE_AUTO_HANDLE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_006030,"@AppleSupport the iOS 11.0.3 update, how the screen looks going back to home, is seriously messing with my #Menieres disease. How to fix? @AppleSupport DM’d you, thank you.",DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,0.4747252549674286,0.6867,0.6667,True,NONE,We'd like to help get this sorted out. Thanks for reaching out to us for support. Can you please let us know which iOS version you're using and when the issue started? Let's begin by updating to the latest version of iOS. This article will guide you: https://t.co/80YRnjDFDk Keep us posted on the results. We're glad to hear it. Have a great day! Let us know if you have any questions along the way.,ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.4747) is below the validated confidence threshold (0.60).,SHOULD_ESCALATE,Retrieved evidence does not match customer's problem intent.,TRUE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_004692,@AppleSupport please bring support for #Gmail aliases to the #iOS #Mail app! Exists in #MacOS already... @AppleSupport Thanks guys! 👍😊,GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,0.18094910805459738,0.6257,0.3333,True,NONE,"We'd be happy to help with this. We'd love to help. Could you give us a few details such as the issue, the device, and software version? Let us know if this helps resolve the issue.",ESCALATE,CONFLICTING_EVIDENCE,Retrieved historical evidence contains conflicting troubleshooting paths or fragmented intents.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SHOULD_ESCALATE,Retrieved historical evidence is too generic or weakly related.
CASE_004217,@115858 sooo when are you guys going to fix this issue so every time I say I️ it doesn’t go to an A ? This shit is annoying. @AppleSupport Thanks,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,0.4541726829675829,0.8263,1.0,True,NONE,"We'd like to help get this sorted out. Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6 Let us know if you have any questions along the way.",ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.4542) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_003583,@AppleSupport what’s with the “i “ autocorrection to i️,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,0.5787386978959502,0.877,0.6667,True,NONE,"We'd like to help get this sorted out. Hey there, check out this article for assistance: https://t.co/xU1AGIa4ME https://t.co/GDrqU2kzhr Let us know if you have any questions along the way.",ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.5787) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SAFE_TO_AUTO_HANDLE,"Clear inquiry with direct, verified historical troubleshooting steps."
CASE_006569,"#Apple making go round in circles when I reported problem in IPhone 7 Plus, guess they are too busy promoting their IPhone10 @AppleSupport @AppleSupport My new #Apple IPhone 7plus, despite visiting service centres from Delhi to Bangalore,my mobile hang issues are still continue @AppleSupport I have done this exercise many times over with your support team on DM as well as had many rounds in your service centres @585060 @AppleSupport customer support and satisfaction is very essential",GENERAL_DEVICE_INQUIRY,CONNECTIVITY_WIFI_BLUETOOTH,0.2898453251500327,0.7406,0.0,True,NONE,"We'd be happy to help with this. We'd love to help. Do you know what version of the iOS is on the device? If not, you can check under Settings &gt; General &gt; About &gt; Version. Are you seeing this issue with any specific apps or usage? Do you do anything to restore function? Let us know if this helps resolve the issue.",ESCALATE,INTENT_EVIDENCE_MISMATCH,Retrieved evidence intent alignment (0.00%) is below the validated alignment threshold (66.00%).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SHOULD_ESCALATE,Retrieved cases point to divergent intent categories.
CASE_001079,"@123765 @115858 Well, so I write this nice tweet about our favorite Japanese restaurant. I decide to geo-locate. Twitter wants permission to locate the phone, pops up the keyboard at the same time. Now the app is locked. Only way out is closing Twitter altogether. https://t.co/Q9KEKfOSIH @AppleSupport Yes. @AppleSupport one-time issue",KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,0.3671390109079431,0.5986,0.0,True,NONE,We'd like to help get this sorted out. We’d be happy to help. Please DM us and let us know what’s happening. https://t.co/GDrqU2kzhr Let us know if you have any questions along the way.,ESCALATE,WEAK_EVIDENCE,Top retrieval similarity (0.5986) is below the validated quality threshold (0.65).,SHOULD_ESCALATE,Retrieved evidence does not match customer's problem intent.,TRUE_ESCALATE,SHOULD_ESCALATE,Retrieved historical evidence is too generic or weakly related.
CASE_001498,"@AppleSupport HELP !🙏🏻 I’ve updated my IPhone 6S and I received a message asking me to change my password to unlock my IPhone, using capital letters, lower case and digits. But now I can’t unlock my iPhone because the keyboard shows only digits. What can I do? 😭 @AppleSupport Thank you for your help, I have just sent you a DM 🙂",KEYBOARD_TYPING_AUTOCORRECT,ACCOUNT_APPLEID_ICLOUD,0.33332639535040465,0.6391,0.3333,True,NONE,"We'd like to help get this sorted out. We want to help! Have you updated to iOS 11.1 yet? If not, we recommend starting there. DM us if you have further issues. That sounds like a good plan! Please keep us updated on what happens. https://t.co/GDrqU22YpT Let us know if you have any questions along the way.",ESCALATE,WEAK_EVIDENCE,Top retrieval similarity (0.6391) is below the validated quality threshold (0.65).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE,SHOULD_ESCALATE,Retrieved historical evidence is too generic or weakly related.
