query,actual_intent,predicted_intent,confidence,top_3_intents,top_3_scores,error_category
"@AppleSupport HELP !🙏🏻 I’ve updated my IPhone 6S and I received a message asking me to change my password to unlock my IPhone, using capital letters, lower case and digits. But now I can’t unlock my iPhone because the keyboard shows only digits. What can I do? 😭 @AppleSupport Thank you for your help, I have just sent you a DM 🙂",KEYBOARD_TYPING_AUTOCORRECT,ACCOUNT_APPLEID_ICLOUD,0.4258,"['ACCOUNT_APPLEID_ICLOUD', 'KEYBOARD_TYPING_AUTOCORRECT', 'GENERAL_DEVICE_INQUIRY']","[0.4258, 0.1247, 0.0929]",LEXICAL_OVERLAP_AMBIGUITY
".@115858 this I️ glitch is the worst thing ever. How is this not fixed yet??? @AppleSupport Thank you for your response.  I have done that, but seriously...  This is an all-time awful problem. In my opinion, the all time worst non-security related problem.",OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,0.3349,"['GENERAL_DEVICE_INQUIRY', 'OS_UPDATE_SYSTEM_PERFORMANCE', 'KEYBOARD_TYPING_AUTOCORRECT']","[0.3349, 0.3292, 0.1082]",MULTI_INTENT_COLLISION
#IphoneXPreOrder #iPhoneX @AppleSupport still no confirmation email in regards to my ‘reserved’ iPhone because of ‘couldn’t reach carrier’ @432099 @AppleSupport Same @AppleSupport Thank u @AppleSupport @432099 That’s baloney.  I contacted Apple support and all they could say was to be patient- it’s been over 10 hours - Apple support is useless @AppleSupport @432273 I am too @AppleSupport @432273 I’m waiting as well and Apple support just tells you to be patient- I think 10+ hours is more than patient to get a confirmation email @AppleSupport All good! Got my email! Thanks! @432274 @AppleSupport @432273 I’ve been waiting 10+ hours with no email to confirm order. @AppleSupport @432273 Still haven't gotten my email #IphoneXPreOrder #iPhoneX,CONNECTIVITY_WIFI_BLUETOOTH,GENERAL_DEVICE_INQUIRY,0.351,"['GENERAL_DEVICE_INQUIRY', 'APP_STORE_PURCHASES_BILLING', 'CONNECTIVITY_WIFI_BLUETOOTH']","[0.351, 0.1676, 0.1296]",SUBTLE_SYMPTOM_DISTINCTION
"So @AppleSupport, I thought login screens were a solved problem https://t.co/jsrq8i1aQA @AppleSupport Restart resolves it, but as a developer, loads of work context is in terminals. This is uncool... Hope it’s a KI fixed in High Sierra @AppleSupport N.b thanks for replying, this is just frustration after several times it happened over the last 3mo...",ACCOUNT_APPLEID_ICLOUD,OS_UPDATE_SYSTEM_PERFORMANCE,0.2624,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'GENERAL_DEVICE_INQUIRY', 'KEYBOARD_TYPING_AUTOCORRECT']","[0.2624, 0.225, 0.1062]",MULTI_INTENT_COLLISION
"@AppleSupport what’s ap notification is not working.i have to open what’s ap for msg and calls.pls advise @AppleSupport Thanks.i noticed it is happening to another app as well.reinstalled and checked ,but result is the same @AppleSupport Yes updated the latest version.but still the same",KEYBOARD_TYPING_AUTOCORRECT,GENERAL_DEVICE_INQUIRY,0.2411,"['GENERAL_DEVICE_INQUIRY', 'OS_UPDATE_SYSTEM_PERFORMANCE', 'KEYBOARD_TYPING_AUTOCORRECT']","[0.2411, 0.1358, 0.107]",LEXICAL_OVERLAP_AMBIGUITY
"@AppleSupport Trying to install the free SAMs app but iTunes won’t let me. This is crazy, and my card is good. https://t.co/q58j2A0Ktf @AppleSupport Just tried it over cellular, it worked this time. What could the problem be?",CONNECTIVITY_WIFI_BLUETOOTH,APP_STORE_PURCHASES_BILLING,0.3987,"['APP_STORE_PURCHASES_BILLING', 'GENERAL_DEVICE_INQUIRY', 'CONNECTIVITY_WIFI_BLUETOOTH']","[0.3987, 0.1819, 0.1552]",SUBTLE_SYMPTOM_DISTINCTION
"The @115858 store at #TheGrove has the worst customer service I’ve EVER experienced in my life! I don’t like to make things racial but a white guy went in the store with the same issue as me, and let’s just say his issue got resolved and mine didn’t.",CONNECTIVITY_WIFI_BLUETOOTH,GENERAL_DEVICE_INQUIRY,0.2718,"['GENERAL_DEVICE_INQUIRY', 'CONNECTIVITY_WIFI_BLUETOOTH', 'APP_STORE_PURCHASES_BILLING']","[0.2718, 0.163, 0.1425]",MULTI_INTENT_COLLISION
"Photos in #macOS High Sierra is SO buggy — I can't imagine it was in a hand of a single QA. And I even waited till 10.13.1. @AppleSupport you either charge for upgrades again or keep the half-done stuff for yourself. As a paying customer I say 👎 @AppleSupport Thanks! The problems are: freezes during just browsing photos (with arrow keys), SUPER SLOW editing of RAWs (iMac 27"" mid 2017), and random crashes if I keep using the app without restarts (all reports sent) 😓 @AppleSupport These problems are not specific to my case, but you know it probably https://t.co/UHXqi83PNg",BATTERY_CHARGING_POWER,OS_UPDATE_SYSTEM_PERFORMANCE,0.1856,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'GENERAL_DEVICE_INQUIRY', 'APP_CRASH_AND_DOWNLOAD']","[0.1856, 0.1732, 0.1673]",MULTI_INTENT_COLLISION
"Prospective wallpaper doesn’t work on #iPhone with #iOS11, #ios1111 WHY? 😕 #iPhone8 #IphoneX #apple @115858 @AppleSupport @AppleSupport Reduce motion is off, I think this is a problem.. when I move my iPhone the prospective wallpaper doesn’t move.. I don’t talk about Live Photos..",OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,0.2375,"['GENERAL_DEVICE_INQUIRY', 'OS_UPDATE_SYSTEM_PERFORMANCE', 'DISPLAY_TOUCH_SCREEN']","[0.2375, 0.1945, 0.1588]",LEXICAL_OVERLAP_AMBIGUITY
"Hey @AppleSupport why am I constantly getting pop ups on Safari that I can’t clear? @AppleSupport iPhone 6s. 11.1.2 @AppleSupport Yea that’s lazy advice and thanks for your tepid suggestions. For further information, please refer to my article on how @115858 no longer gives a damn about its customers.",GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,0.1716,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'GENERAL_DEVICE_INQUIRY', 'CONNECTIVITY_WIFI_BLUETOOTH']","[0.1716, 0.1593, 0.1485]",MULTI_INTENT_COLLISION
Hey @115858 fix this bullshit bug with typing “I” and showing up as something else,KEYBOARD_TYPING_AUTOCORRECT,GENERAL_DEVICE_INQUIRY,0.6626,"['GENERAL_DEVICE_INQUIRY', 'KEYBOARD_TYPING_AUTOCORRECT', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.6626, 0.1091, 0.0821]",SUBTLE_SYMPTOM_DISTINCTION
My phone just deleted my entire camera roll.........  I’m devasted 😭😭😭😭😭 Update - my pictures randomly are downloading back to my phone from iCloud. Wtf is up @AppleSupport          #THANKFULthough,DISPLAY_TOUCH_SCREEN,ACCOUNT_APPLEID_ICLOUD,0.5271,"['ACCOUNT_APPLEID_ICLOUD', 'DISPLAY_TOUCH_SCREEN', 'OS_UPDATE_SYSTEM_PERFORMANCE']","[0.5271, 0.235, 0.0981]",LEXICAL_OVERLAP_AMBIGUITY
iOS 11 is the worst update @115858 has released. My phone has been living on the charger. @AppleSupport Thank you!,BATTERY_CHARGING_POWER,OS_UPDATE_SYSTEM_PERFORMANCE,0.7038,"['OS_UPDATE_SYSTEM_PERFORMANCE', 'BATTERY_CHARGING_POWER', 'AUDIO_SOUND_SPEAKER']","[0.7038, 0.2474, 0.0092]",LEXICAL_OVERLAP_AMBIGUITY
