query,intent,baseline_top1_case_id,baseline_score,reranked_top1_case_id,reranker_score,correct_case_id,outcome
@115858 please fix this 👉🏽 I️ I️ I️ I️ @AppleSupport Thanks @AppleSupport my bug is fixed ❤️❤️,GENERAL_DEVICE_INQUIRY,CASE_004388,0.8867,CASE_003858,6.9832,CASE_003858,FIXED_WRONG_TOP1
What is with the weird I️ thing??? How do I stop it @583075 Dear @115858 I️ absolutely hate your iOS 11 update. I️ I️ I️ I️ I️ FIX THIS BALO,ACCOUNT_APPLEID_ICLOUD,CASE_005920,0.7091,CASE_000474,-6.6618,CASE_000474,FIXED_WRONG_TOP1
@AppleSupport aye Snapchat tripping I don’t know if it’s on y’all end or theirs but that shit needs to be fixed NOW ❗️❗️❗️ @AppleSupport It’,GENERAL_DEVICE_INQUIRY,CASE_004067,0.6883,CASE_003687,-1.2123,CASE_003687,FIXED_WRONG_TOP1
"Hey @AppleSupport, Mail on #HighSierra is a broken mess that crashes whenever I try to compose an email would be appreciated if you fixed it",APP_CRASH_AND_DOWNLOAD,CASE_003126,0.6183,CASE_000374,-1.8941,CASE_000374,FIXED_WRONG_TOP1
"12 steps and Im still in bed @AppleSupport https://t.co/9K9sICmx6C @AppleSupport Yep, I usually check my health app once a week",GENERAL_DEVICE_INQUIRY,CASE_006941,0.6821,CASE_005605,-1.3536,CASE_005605,FIXED_WRONG_TOP1
the iOS 11 update got my phone dying every 10 minutes🤦🏽‍♀️ @AppleSupport @AppleSupport 11.0.3,BATTERY_CHARGING_POWER,CASE_004741,0.8606,CASE_002182,5.0801,CASE_002182,FIXED_WRONG_TOP1
"Apple, the default wallpapers of iOS 11 are so weird. Could you make them more like macOS style? I mean, please don't remove the classic one",OS_UPDATE_SYSTEM_PERFORMANCE,CASE_003490,0.521,CASE_003436,-1.3463,CASE_003436,FIXED_WRONG_TOP1
@AppleSupport when are u releasing fix for #iOS #1103 ? it sucks @AppleSupport Thanks hope it addresses my concerns. PS the QA should be fir,GENERAL_DEVICE_INQUIRY,CASE_005130,0.7988,CASE_005076,0.2311,CASE_005076,FIXED_WRONG_TOP1
I️ need to figure out how to fix my phone. This glitch is pissing me off. FIX IT! @115858 @AppleSupport Thank you!,OS_UPDATE_SYSTEM_PERFORMANCE,CASE_004395,0.8376,CASE_003626,3.6184,CASE_003626,FIXED_WRONG_TOP1
@AppleSupport will you please fix this shit! 👇🏻 Why is there an effing boxed question mark every time the letter “I️” is used?! @115858 http,GENERAL_DEVICE_INQUIRY,CASE_004000,0.8212,CASE_005170,-1.634,CASE_005170,FIXED_WRONG_TOP1
@AppleSupport hi do you do additional memory for Ipad3? Thanks,GENERAL_DEVICE_INQUIRY,CASE_003445,0.5704,CASE_005292,-0.8232,CASE_003445,MADE_CORRECT_WRONG
Downloaded latest IOS updates from @115858 &amp; phone hasn’t worked the same since. Forced to buy a new one. Coincidence? #Classy #Apple #i,OS_UPDATE_SYSTEM_PERFORMANCE,CASE_004917,0.7652,CASE_006598,-0.9323,CASE_004917,MADE_CORRECT_WRONG
@AppleSupport Is there an ETA for this glitch with the letter I ?? @AppleSupport Thank you!,KEYBOARD_TYPING_AUTOCORRECT,CASE_004307,0.9061,CASE_006287,6.1332,CASE_004307,MADE_CORRECT_WRONG
"@AppleSupport after updating to latest iOS. Whenever I️ press ""i"" it gives me these strange characters. Can you help me? https://t.co/wxVWnR",GENERAL_DEVICE_INQUIRY,CASE_003785,0.8506,CASE_003417,3.7956,CASE_003785,MADE_CORRECT_WRONG
"Prospective wallpaper doesn’t work on #iPhone with #iOS11, #ios1111 WHY? 😕 #iPhone8 #IphoneX #apple @115858 @AppleSupport @AppleSupport Redu",OS_UPDATE_SYSTEM_PERFORMANCE,CASE_006288,0.6737,CASE_001458,-0.7825,CASE_006288,MADE_CORRECT_WRONG
"What a great way to start the day, sent snaps to all my snap streaks close phone and now it wont come back on..... thanks @115858 😅 @AppleSu",GENERAL_DEVICE_INQUIRY,CASE_003199,0.5537,CASE_001728,-7.6927,CASE_003199,MADE_CORRECT_WRONG
@AppleSupport - I’ve had an email from Apple Support but I don’t think it’s a genuine email?,GENERAL_DEVICE_INQUIRY,CASE_002401,0.8431,CASE_003023,6.7144,CASE_002401,MADE_CORRECT_WRONG
