query,expected_intent,predicted_intent,top1_similarity,correct_case_rank,top3_intents,failure_category,why_retrieval_failed
@115858 please fix this 👉🏽 I️ I️ I️ I️ @AppleSupport Thanks @AppleSupport my bug is fixed ❤️❤️,GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,0.8867,2,"OS_UPDATE_SYSTEM_PERFORMANCE, GENERAL_DEVICE_INQUIRY, GENERAL_DEVICE_INQUIRY",SEMANTICALLY_SIMILAR_INTENTS,Expected GENERAL_DEVICE_INQUIRY shares dense vocabulary with OS_UPDATE_SYSTEM_PERFORMANCE; bi-encoder ranked related intent top-1 (correct case at Rank 2).
The @115858 store at #TheGrove has the worst customer service I’ve EVER experienced in my life! I don’t like to make things racial but a white guy wen,CONNECTIVITY_WIFI_BLUETOOTH,GENERAL_DEVICE_INQUIRY,0.5499,3,"GENERAL_DEVICE_INQUIRY, APP_CRASH_AND_DOWNLOAD, CONNECTIVITY_WIFI_BLUETOOTH",SEMANTICALLY_SIMILAR_INTENTS,Expected CONNECTIVITY_WIFI_BLUETOOTH shares dense vocabulary with GENERAL_DEVICE_INQUIRY; bi-encoder ranked related intent top-1 (correct case at Rank 3).
Dear Apple...... FIX THIS!!! I️ I️ I️ I️ @AppleSupport THANKS! @AppleSupport Thanks so much. 11.0.3 is the version. @AppleSupport Thank You! The updat,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,0.8744,3,"GENERAL_DEVICE_INQUIRY, GENERAL_DEVICE_INQUIRY, OS_UPDATE_SYSTEM_PERFORMANCE",SEMANTICALLY_SIMILAR_INTENTS,Expected OS_UPDATE_SYSTEM_PERFORMANCE shares dense vocabulary with GENERAL_DEVICE_INQUIRY; bi-encoder ranked related intent top-1 (correct case at Rank 3).
@115858 @AppleSupport how do I fix the “I.t” I just want to type “it” 😭😭,HOW_TO_SETTINGS_CONFIGURATION,GENERAL_DEVICE_INQUIRY,0.8006,2,"GENERAL_DEVICE_INQUIRY, HOW_TO_SETTINGS_CONFIGURATION, GENERAL_DEVICE_INQUIRY",SEMANTICALLY_SIMILAR_INTENTS,Expected HOW_TO_SETTINGS_CONFIGURATION shares dense vocabulary with GENERAL_DEVICE_INQUIRY; bi-encoder ranked related intent top-1 (correct case at Rank 2).
Dear @AppleSupport: how do I fully reset an old iPhone that is mildly functional but so broken I can’t unlock it or actually reset it? @AppleSupport Y,DISPLAY_TOUCH_SCREEN,ACCOUNT_APPLEID_ICLOUD,0.6649,2,"ACCOUNT_APPLEID_ICLOUD, DISPLAY_TOUCH_SCREEN, AUDIO_SOUND_SPEAKER",MULTI_ISSUE_QUERY,Query describes multiple issues; embedding vector averaged symptoms and matched ACCOUNT_APPLEID_ICLOUD instead of primary intent DISPLAY_TOUCH_SCREEN.
@AppleSupport I am a technician helping a iPad user retrieve her Apple ID password. Does not have recovery email password and forgets the security que,ACCOUNT_APPLEID_ICLOUD,CONNECTIVITY_WIFI_BLUETOOTH,0.7213,2,"CONNECTIVITY_WIFI_BLUETOOTH, ACCOUNT_APPLEID_ICLOUD, DISPLAY_TOUCH_SCREEN",MULTI_ISSUE_QUERY,Query describes multiple issues; embedding vector averaged symptoms and matched CONNECTIVITY_WIFI_BLUETOOTH instead of primary intent ACCOUNT_APPLEID_ICLOUD.
"@AppleSupport Trying to install the free SAMs app but iTunes won’t let me. This is crazy, and my card is good. https://t.co/q58j2A0Ktf @AppleSupport J",CONNECTIVITY_WIFI_BLUETOOTH,APP_STORE_PURCHASES_BILLING,0.6579,Missing (>10),"APP_STORE_PURCHASES_BILLING, APP_STORE_PURCHASES_BILLING, APP_STORE_PURCHASES_BILLING",MULTI_ISSUE_QUERY,Query describes multiple issues; embedding vector averaged symptoms and matched APP_STORE_PURCHASES_BILLING instead of primary intent CONNECTIVITY_WIFI_BLUETOOTH.
Photos in #macOS High Sierra is SO buggy — I can't imagine it was in a hand of a single QA. And I even waited till 10.13.1. @AppleSupport you either c,BATTERY_CHARGING_POWER,GENERAL_DEVICE_INQUIRY,0.8044,Missing (>10),"GENERAL_DEVICE_INQUIRY, APP_CRASH_AND_DOWNLOAD, OS_UPDATE_SYSTEM_PERFORMANCE",MULTI_ISSUE_QUERY,Query describes multiple issues; embedding vector averaged symptoms and matched GENERAL_DEVICE_INQUIRY instead of primary intent BATTERY_CHARGING_POWER.
"So @AppleSupport, I thought login screens were a solved problem https://t.co/jsrq8i1aQA @AppleSupport Restart resolves it, but as a developer, loads o",ACCOUNT_APPLEID_ICLOUD,OS_UPDATE_SYSTEM_PERFORMANCE,0.6146,4,"OS_UPDATE_SYSTEM_PERFORMANCE, KEYBOARD_TYPING_AUTOCORRECT, OS_UPDATE_SYSTEM_PERFORMANCE",WRONG_KNOWLEDGE_REPRESENTATION,"Correct case exists in Top-10 (Rank 4), but single customer problem text bi-encoder representation lacked nuance to outscore distractor."
@AppleSupport you should be ashamed. My Mac downloaded High Sierra &amp; now I can’t log into it. After trying to fix it myself I took it to an author,GENERAL_DEVICE_INQUIRY,ACCOUNT_APPLEID_ICLOUD,0.6733,2,"ACCOUNT_APPLEID_ICLOUD, GENERAL_DEVICE_INQUIRY, OS_UPDATE_SYSTEM_PERFORMANCE",WRONG_KNOWLEDGE_REPRESENTATION,"Correct case exists in Top-10 (Rank 2), but single customer problem text bi-encoder representation lacked nuance to outscore distractor."
Hey @115858 fix this I️ @AppleSupport I️ don’t want to do this. I️ want my phone to work. I️ pay all this money &amp; I️ can’t even talk about myself.,GENERAL_DEVICE_INQUIRY,APP_STORE_PURCHASES_BILLING,0.8158,3,"APP_STORE_PURCHASES_BILLING, OS_UPDATE_SYSTEM_PERFORMANCE, GENERAL_DEVICE_INQUIRY",WRONG_KNOWLEDGE_REPRESENTATION,"Correct case exists in Top-10 (Rank 3), but single customer problem text bi-encoder representation lacked nuance to outscore distractor."
