query_case_id,query_thread_id,query_intent,query_customer_text,retrieved_rank,retrieved_case_id,retrieved_intent,similarity_score,retrieved_customer_problem,retrieved_support_response,retrieved_outcome,relevance_score,relevance_label,relevance_rationale
CASE_005171,2093887,ACCOUNT_APPLEID_ICLOUD,"@AppleSupport just received my iPhoneX, my photos aren’t transferring from old to new device. HELP! I have iCloud photo stream on. Only 159 pictures out of over 22,000 transferred. @AppleSupport Got it! Just had to sign in and out of iCloud! Whew!",1,CASE_003598,ACCOUNT_APPLEID_ICLOUD,0.7832,@AppleSupport was my iCloud photo library supposed to automatically transfer to my new iPhone when I signed into icloud? It didn’t. @481188 @AppleSupport I’m having the same issue. Have you figured this out yet? @AppleSupport I’m good now but @481187 needs help. @429849 @AppleSupport Yes I do lol,@481188 Let's help get this sorted. Is iCloud Photo Library enabled as shown here? https://t.co/8YUslsnsM5 Let us know in DM. https://t.co/GDrqU22YpT @429849 We want to help. Meet us in DM and we'll work towards a solution together. https://t.co/GDrqU2kzhr,CLEARLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_005171,2093887,ACCOUNT_APPLEID_ICLOUD,"@AppleSupport just received my iPhoneX, my photos aren’t transferring from old to new device. HELP! I have iCloud photo stream on. Only 159 pictures out of over 22,000 transferred. @AppleSupport Got it! Just had to sign in and out of iCloud! Whew!",2,CASE_000508,ACCOUNT_APPLEID_ICLOUD,0.7248,@AppleSupport none of my photos have went onto my new iPhone device eventhough they were backed up and I’ve tried everything I know of m?? @AppleSupport iCloud I think!,"@173620 You came to the right place! Did you back-up your data with iCloud or iTunes? See if this helps: https://t.co/lOVrD5pu5o @173620 Great. Is iCloud Photo Library enabled on your new iPhone? You can check at Settings &gt; Photo. Also, do you have your old iPhone?",PARTIALLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_005171,2093887,ACCOUNT_APPLEID_ICLOUD,"@AppleSupport just received my iPhoneX, my photos aren’t transferring from old to new device. HELP! I have iCloud photo stream on. Only 159 pictures out of over 22,000 transferred. @AppleSupport Got it! Just had to sign in and out of iCloud! Whew!",3,CASE_002809,ACCOUNT_APPLEID_ICLOUD,0.7029,So my photos haven’t came back on my new phone.... @115858 this restore didn’t work @AppleSupport iCloud,@396700 We can help. Did you restore through iTunes or iCloud? @396700 Let's go to Settings &gt; Photos. Is iCloud Photo Library turned on? Do you see a message showing Photos are being downloaded?,PARTIALLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_004452,1743677,ACCOUNT_APPLEID_ICLOUD,"@AppleSupport hi, when I go to ""Report a Problem"" about some of my receipts, I try to login and it keeps taking me back to login again @AppleSupport Being on a different browser helped, thanks!!",1,CASE_005590,ACCOUNT_APPLEID_ICLOUD,0.6742,@AppleSupport what is this can't log in https://t.co/TPsDdJEL35 @AppleSupport thanks for the reply - sends me back to the log in - no progress,"@629703 Thanks for reaching out. We understand the importance of getting into your Mac. It looks like while you're seeing the unexpected text display, there's also a progress bar in the center. Does the progress bar move, and if so, is there any change when it's complete? @629703 Thanks for clarifying. It sounds like you power your Mac on, see the login screen, and the issue begins after logging in, while the system loads. Let's try booting your Mac into safe mode; this page explains what it does, and how to use it: https://t.co/PQ4LSYhUTY",PARTIALLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_004452,1743677,ACCOUNT_APPLEID_ICLOUD,"@AppleSupport hi, when I go to ""Report a Problem"" about some of my receipts, I try to login and it keeps taking me back to login again @AppleSupport Being on a different browser helped, thanks!!",2,CASE_006768,GENERAL_DEVICE_INQUIRY,0.6614,@AppleSupport help plis https://t.co/KiLdtWnvf3 @AppleSupport I was updating it and then it just stopped and this popped up when I restarted and started logging in @AppleSupport Help me apple support @AppleSupport Yessir and it said the same thing when I tried logging in @AppleSupport Help me please I need to do my homework!! @AppleSupport Thanks,"@718620 We want to help. What were you doing on the Mac when this happened? @718620 Okay, thanks. Have you tried restarting your Mac? @718620 Thanks for letting us know. We've received your DM and we'll continue to assist you from there.",PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_004452,1743677,ACCOUNT_APPLEID_ICLOUD,"@AppleSupport hi, when I go to ""Report a Problem"" about some of my receipts, I try to login and it keeps taking me back to login again @AppleSupport Being on a different browser helped, thanks!!",3,CASE_006261,ACCOUNT_APPLEID_ICLOUD,0.6514,@AppleSupport getting a “connection error” when trying to login on a desktop through a browser. What’s going on? @AppleSupport It’s now working.,"@684424 We'd like to help. Just to clarify, are you referring to logging into iCloud? If so, all services appear to be up and running currently: https://t.co/xR0BAXItoi Could you tell us which system you're experiencing this issue with? @684424 Glad to hear it. Feel free to reach out if you run into any more issues.",CLEARLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_006666,2499259,ACCOUNT_APPLEID_ICLOUD,@AppleSupport I am a technician helping a iPad user retrieve her Apple ID password. Does not have recovery email password and forgets the security questions. How can I get this password back? @AppleSupport This looks good but the iPad has been restored and is waiting for this password . Is there a way to do this on the web? @AppleSupport Thank you for this information,1,CASE_007730,CONNECTIVITY_WIFI_BLUETOOTH,0.7213,@AppleSupport how do I reset my iPad? I have tried to to connect to iTunes.. still saying iPad is disabled @AppleSupport What if it was originally synced with iTunes but I can not remember the log in for that. @AppleSupport If I take this into a store will they be able to help ? @AppleSupport I have worked through the recovery mode but no luck... it originally was connected to my ex's iTunes and he he doesn't have a clue what that is.. @AppleSupport Am not sure I fit into the category of recovery mode as it has been connected to an iTunes account... just no idea what that is,"@802531 We would be happy to help. If the iPad is disabled and connected to iTunes, we'll need to put the iPad in recovery mode. This help to explain the steps: https://t.co/F1QfwW1u1N At the top select, 'If you can't sync or connect with iTunes, use recovery mode.' @802531 We can certainly clarify. If the iPad is at a point where it shows it has been disabled, the only way to set it back up again will be with the recovery mode steps: https://t.co/F1QfwW1u1N @802531 Let's take a closer look into this in DM. 

Send us a message and we'll follow up there. https://t.co/GDrqU22YpT",CLEARLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_006666,2499259,ACCOUNT_APPLEID_ICLOUD,@AppleSupport I am a technician helping a iPad user retrieve her Apple ID password. Does not have recovery email password and forgets the security questions. How can I get this password back? @AppleSupport This looks good but the iPad has been restored and is waiting for this password . Is there a way to do this on the web? @AppleSupport Thank you for this information,2,CASE_002816,ACCOUNT_APPLEID_ICLOUD,0.6859,@AppleSupport forgot iPhone backup password. What do I do now?,@397343 We understand your concern! Please follow these steps with encrypted iTunes backups: https://t.co/3qND7caI7Z,PARTIALLY_RESOLVED,2,Strongly Relevant,Strong semantic alignment with identical customer symptom and actionable resolution.
CASE_006666,2499259,ACCOUNT_APPLEID_ICLOUD,@AppleSupport I am a technician helping a iPad user retrieve her Apple ID password. Does not have recovery email password and forgets the security questions. How can I get this password back? @AppleSupport This looks good but the iPad has been restored and is waiting for this password . Is there a way to do this on the web? @AppleSupport Thank you for this information,3,CASE_004605,DISPLAY_TOUCH_SCREEN,0.6816,@AppleSupport I need help after updating my iPad I was asked to input my Apple ID password &amp; when I did it's not taking it now I'm trying to get that reset but yet it's stuck on a verifying screen 😐 @AppleSupport It finally went through thanks for the reply,"@519546 Let's take a look into this together. Please send us a DM, and we'll continue there. https://t.co/GDrqU22YpT @519546 Glad that worked. Reach out anytime.",PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_002997,1276326,ACCOUNT_APPLEID_ICLOUD,"@116333  system say my membership already expired , but I am sure my membership is still alive , I can’t listen to any music right now😭 https://t.co/LCrbfV6clz @AppleSupport iphone6s+ and iphone 7, yesterday AM still working fine !
Today all my music is dead !
This is a disaster!😭
Tried login and out and restart",1,CASE_003004,APP_STORE_PURCHASES_BILLING,0.7579,@AppleSupport I cant download anymore music and says my membership expired even though I still have a month left. It was ok until today. https://t.co/qG0Ipptlpi @AppleSupport Ok thank you,@420009 Thank you. We’re investigating and will update our System Status page as more info becomes available: https://t.co/Fcu0biZf0L,PARTIALLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_002997,1276326,ACCOUNT_APPLEID_ICLOUD,"@116333  system say my membership already expired , but I am sure my membership is still alive , I can’t listen to any music right now😭 https://t.co/LCrbfV6clz @AppleSupport iphone6s+ and iphone 7, yesterday AM still working fine !
Today all my music is dead !
This is a disaster!😭
Tried login and out and restart",2,CASE_005733,CONNECTIVITY_WIFI_BLUETOOTH,0.6544,"@AppleSupport I can't log into my iTunes so I can't use my Apple Music :( https://t.co/e07kOM31jb @AppleSupport Hi yes it's working again now it's back on wifi it seems my account discounts and I can re login when I'm not on wifi, this isn't too much of an issue if I'm honest as long as I can download songs",@542621 We want to help you get to your music. Are you able to try under Wi-Fi? @542621 We think the issue may be in the speed of the 4G network. We want to make sure that you can enjoy Apple Music whenever you like. We should check to make sure that Cellular Data is turned on in the Apple Music Settings.,CLEARLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
CASE_002997,1276326,ACCOUNT_APPLEID_ICLOUD,"@116333  system say my membership already expired , but I am sure my membership is still alive , I can’t listen to any music right now😭 https://t.co/LCrbfV6clz @AppleSupport iphone6s+ and iphone 7, yesterday AM still working fine !
Today all my music is dead !
This is a disaster!😭
Tried login and out and restart",3,CASE_002984,APP_STORE_PURCHASES_BILLING,0.6527,Lol so vele my Apple Music just stopped working? 😂☹️☹️ @417144 Me too! What's going on @AppleSupport ? @417144 Music deleted ? @387011 @AppleSupport Can we get a response? My songs aren't playing. It keeps on notifying me to create a new plan. @AppleSupport @571445 This is legit what I get. Time I've already created an account. @AppleSupport @115948 https://t.co/Tdp9hvwA8V @417144 @AppleSupport @115948 Mine just freezes right there 💔😂 imagine how I feel.. I just want to listen to that one song https://t.co/flkSTGBsDM @AppleSupport Thank you. 😊,"@387011 Let's look into what's happening with Apple Music together. Send us a DM, tell us the country you're in and device you're using. https://t.co/GDrqU22YpT @417144 We would like to get you pointed in the right direction to enjoy Apple Music.  Please reach out here: https://t.co/SDIe7UiyJN @571445 We want to help with your Apple Music issue, too. Meet us in DM. Let us know if you've tried restarting your device yet. https://t.co/GDrqU22YpT @417144 You're welcome.",CLEARLY_RESOLVED,1,Somewhat Relevant,Partial semantic overlap; related hardware/software component or troubleshooting procedure.
