case_id,thread_root_id,query_intent,customer_message,grounding_status,generation_mode,resolution_pattern,draft_reply,resolution_faithfulness,grounding_pass,unsupported_claims,severity
CASE_005171,2093887,ACCOUNT_APPLEID_ICLOUD,"@AppleSupport just received my iPhoneX, my photos aren’t transferring from old to new device. HELP! I have iCloud photo stream on. Only 159 pictures out of over 22,000 transferred. @AppleSupport Got it! Just had to sign in and out of iCloud! Whew!",GROUNDED,EVIDENCE_BACKED_ACTION,Navigate to iforgot.apple.com to verify/reset Apple ID → Verify Two-Factor Authentication (2FA) → Settings → Apple ID → iCloud storage management,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Visit iforgot.apple.com to securely reset your Apple ID password.
2. Verify Two-Factor Authentication (2FA).
3. Settings.
4. Apple ID.
5. iCloud storage management.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/8YUslsnsM5",PASS,True,None,NONE
CASE_004452,1743677,ACCOUNT_APPLEID_ICLOUD,"@AppleSupport hi, when I go to ""Report a Problem"" about some of my receipts, I try to login and it keeps taking me back to login again @AppleSupport Being on a different browser helped, thanks!!",GROUNDED,EVIDENCE_BACKED_ACTION,Navigate to iforgot.apple.com to verify/reset Apple ID → Verify Two-Factor Authentication (2FA) → Settings → Apple ID → iCloud storage management,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Visit iforgot.apple.com to securely reset your Apple ID password.
2. Verify Two-Factor Authentication (2FA).
3. Settings.
4. Apple ID.
5. iCloud storage management.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/PQ4LSYhUTY",PASS,True,None,NONE
CASE_006666,2499259,ACCOUNT_APPLEID_ICLOUD,@AppleSupport I am a technician helping a iPad user retrieve her Apple ID password. Does not have recovery email password and forgets the security questions. How can I get this password back? @AppleSupport This looks good but the iPad has been restored and is waiting for this password . Is there a way to do this on the web? @AppleSupport Thank you for this information,GROUNDED,EVIDENCE_BACKED_ACTION,Navigate to iforgot.apple.com to verify/reset Apple ID → Verify Two-Factor Authentication (2FA) → Settings → Apple ID → iCloud storage management,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Visit iforgot.apple.com to securely reset your Apple ID password.
2. Verify Two-Factor Authentication (2FA).
3. Settings.
4. Apple ID.
5. iCloud storage management.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/3qND7caI7Z",PASS,True,None,NONE
CASE_002997,1276326,ACCOUNT_APPLEID_ICLOUD,"@116333  system say my membership already expired , but I am sure my membership is still alive , I can’t listen to any music right now😭 https://t.co/LCrbfV6clz @AppleSupport iphone6s+ and iphone 7, yesterday AM still working fine !
Today all my music is dead !
This is a disaster!😭
Tried login and out and restart",GROUNDED,EVIDENCE_BACKED_ACTION,Navigate to iforgot.apple.com to verify/reset Apple ID → Verify Two-Factor Authentication (2FA) → Settings → Apple ID → iCloud storage management,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Visit iforgot.apple.com to securely reset your Apple ID password.
2. Verify Two-Factor Authentication (2FA).
3. Settings.
4. Apple ID.
5. iCloud storage management.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/Fcu0biZf0L",PASS,True,None,NONE
CASE_002387,961113,APP_CRASH_AND_DOWNLOAD,@applesupport Why does #iMovie keep crashing. It’s crashed on me at least 8 times today. #frustrating I can’t finish my movie. @AppleSupport Thank you. I’ll have to try tomorrow.,GROUNDED,EVIDENCE_BACKED_ACTION,Force close and reopen the affected app → Check App Store for app updates → Delete and reinstall app from App Store,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Force close the app by swiping up from the bottom of your screen, then relaunch it or check the App Store for updates.
2. Check App Store for app updates.
3. Delete and reinstall app from App Store.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/IBIY3vMgPj",PASS,True,None,NONE
CASE_002067,827465,APP_CRASH_AND_DOWNLOAD,"#Xcode crashes when trying to change #UITableView Style to Grouped. Did anyone face this issue before? #iOS #iPhone @115858 #iosDeveloper https://t.co/4g5GOkzDDs @AppleSupport @AppleSupport reported, thanks!",EVIDENCE_INSUFFICIENT,CLARIFY_OR_ESCALATE,Force close and reopen the affected app → Check App Store for app updates → Delete and reinstall app from App Store,"We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",NOT_APPLICABLE,True,None,NONE
CASE_006797,2547271,APP_CRASH_AND_DOWNLOAD,@115858 well you’ve outdone yourselves on shocking service for a faulty 3 month old iPhone that I’m stuck with yet you have my money. @1647 @AppleSupport Thanks I’ve done so,GROUNDED,EVIDENCE_BACKED_ACTION,Force close and reopen the affected app → Check App Store for app updates → Delete and reinstall app from App Store,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Force close the app by swiping up from the bottom of your screen, then relaunch it or check the App Store for updates.
2. Check App Store for app updates.
3. Delete and reinstall app from App Store.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/4f8hwT5to6",PASS,True,None,NONE
CASE_002456,1004998,APP_CRASH_AND_DOWNLOAD,"Apple sucks... brand new iPhone crashes every fucking day @115858 @AppleSupport 11.1.2, iPhone 8+ only 2-3 weeks old.",GROUNDED,EVIDENCE_BACKED_ACTION,Force close and reopen the affected app → Check App Store for app updates → Delete and reinstall app from App Store,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Force close the app by swiping up from the bottom of your screen, then relaunch it or check the App Store for updates.
2. Check App Store for app updates.
3. Delete and reinstall app from App Store.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/80YRnjDFDk",PASS,True,None,NONE
CASE_006743,2519453,APP_STORE_PURCHASES_BILLING,"WTF...I can't switch to my new phone because iTunes says the backup from my iPhone 7 isn't compatible with iPhone X. What gives, @AppleSupport? https://t.co/xfyK4jTdUB",GROUNDED,EVIDENCE_BACKED_ACTION,Settings → Apple ID → Subscriptions → View Purchase History on reportaproblem.apple.com → Request Refund through official Apple Billing Support,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Settings.
2. Apple ID.
3. Go to Settings > [Your Name] > Subscriptions to manage or review active subscriptions.
4. Go to Settings > [Your Name] > Subscriptions to manage or review active subscriptions.
5. Visit reportaproblem.apple.com to check your recent purchase history and submit a formal refund request.

Please let us know if this helps resolve the issue.",PASS,True,None,NONE
CASE_003534,1536979,APP_STORE_PURCHASES_BILLING,"@AppleSupport I'm trying to sync the music from iTunes onto my iPod and every time it's almost done it cancels the sync?? @AppleSupport I've sorted it, thank you :)",GROUNDED,EVIDENCE_BACKED_ACTION,Settings → Apple ID → Subscriptions → View Purchase History on reportaproblem.apple.com → Request Refund through official Apple Billing Support,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Settings.
2. Apple ID.
3. Go to Settings > [Your Name] > Subscriptions to manage or review active subscriptions.
4. Go to Settings > [Your Name] > Subscriptions to manage or review active subscriptions.
5. Visit reportaproblem.apple.com to check your recent purchase history and submit a formal refund request.

Please let us know if this helps resolve the issue.",PASS,True,None,NONE
CASE_007474,2783294,APP_STORE_PURCHASES_BILLING,"My ipod is having issues loading songs. Oddly only the songs I didnt rip from CDs are affected.  Well played @115858 well played..... @AppleSupport it's likely my hard drive guys, I've worked with you for weeks to figure it out and nothing seems to fix it.  went as high as a senior staff member.  you guys couldn't find anything wrong with your systems. @AppleSupport I was trying to be witty.  because I'm hoping a new hard drive will fix it.  didn't expect you guys to actually answer  :)  tweeting about my problems in a funny ""poke fun at myself"" way. @AppleSupport Im waiting on black friday deals to get a new HD. Already got a new cord, did diagnostics/virus scan nothing fixed it. Moved library to main drive and it transferred. So gonna try a new external this one is from 2015. @AppleSupport If that doesnt work, I will be back. Because the only things left to replace is the actual computer and the actual ipod. Ipod is almost 2 years old now, computer is maybe 3. @AppleSupport Ipod seems fine, laptop seems fine too after i did all that. So gonna try this approach",EVIDENCE_INSUFFICIENT,CLARIFY_OR_ESCALATE,Settings → Apple ID → Subscriptions → View Purchase History on reportaproblem.apple.com → Request Refund through official Apple Billing Support,"We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",NOT_APPLICABLE,True,None,NONE
CASE_000123,55084,APP_STORE_PURCHASES_BILLING,"Why can’t I listen to my music in the car since updating #ineedanswers @115858 @AppleSupport It’s says it’s “indexing” and won’t play my music @AppleSupport It’s working now 😬 @AppleSupport I shut my phone off for 15 minutes and when I turned it back on, it worked. Ty",GROUNDED,EVIDENCE_BACKED_ACTION,Settings → Apple ID → Subscriptions → View Purchase History on reportaproblem.apple.com → Request Refund through official Apple Billing Support,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Settings.
2. Apple ID.
3. Go to Settings > [Your Name] > Subscriptions to manage or review active subscriptions.
4. Go to Settings > [Your Name] > Subscriptions to manage or review active subscriptions.
5. Visit reportaproblem.apple.com to check your recent purchase history and submit a formal refund request.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/9VQ9VywZJ2?",PASS,True,None,NONE
CASE_002473,1010808,AUDIO_SOUND_SPEAKER,if i can listen to a voice note on speaker my phone shouldnt be going into 'sleep mode' while its playing @AppleSupport fix it please @AppleSupport also can i get a fast forward option??? so that when this happens i dont have to listen to it all over again. @AppleSupport sincerely someone who just had to play the same voice note 5 times... just to hear the last 30 seconds @AppleSupport Thanks for the temporary option.. anyway my suggestion can be sent in though if it hasn't already been @AppleSupport Thanks,EVIDENCE_INSUFFICIENT,CLARIFY_OR_ESCALATE,Settings → Sounds & Haptics → Adjust Volume slider → Check Do Not Disturb & Ring/Silent switch → Clean speaker mesh & disconnect Bluetooth accessories,"We'd be glad to look into this with you. To help us provide the right troubleshooting steps, could you please let us know which device model and iOS version you're currently using?",NOT_APPLICABLE,True,None,NONE
CASE_001705,652923,AUDIO_SOUND_SPEAKER,"@AppleSupport my iPhone has a weird white/grey line that goes from the bottom to the middle of the screen, and the volume box is stuck in the middle of the screen. How do I troubleshoot/fix this? @AppleSupport Thanks! I’ve restarted it a few times and my software version is 10.0.1",GROUNDED,EVIDENCE_BACKED_ACTION,Settings → Sounds & Haptics → Adjust Volume slider → Check Do Not Disturb & Ring/Silent switch → Clean speaker mesh & disconnect Bluetooth accessories,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Settings.
2. Check Settings > Sounds & Haptics to verify ringer volume and alerts.
3. Check Settings > Sounds & Haptics to verify ringer volume and alerts.
4. Check Do Not Disturb & Ring/Silent switch.
5. Clean speaker mesh & disconnect Bluetooth accessories.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/vodH4madjc",PASS,True,None,NONE
CASE_006022,2309065,AUDIO_SOUND_SPEAKER,"Has anyone else noticed since updating your #iOS that your alarm is sooo quiet?? I’m afraid I’m going to sleep through it even though my volume is all the way up! @115858 #applechat #iphone @AppleSupport Texts, calls and music have been normal. Someone suggested going to settings to try ‘change with buttons’ so I’ll try that and see if it helps. Thanks for the response!",GROUNDED,EVIDENCE_BACKED_ACTION,Settings → Sounds & Haptics → Adjust Volume slider → Check Do Not Disturb & Ring/Silent switch → Clean speaker mesh & disconnect Bluetooth accessories,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Settings.
2. Check Settings > Sounds & Haptics to verify ringer volume and alerts.
3. Check Settings > Sounds & Haptics to verify ringer volume and alerts.
4. Check Do Not Disturb & Ring/Silent switch.
5. Clean speaker mesh & disconnect Bluetooth accessories.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/nYknMGviju",PASS,True,None,NONE
CASE_007670,2863567,AUDIO_SOUND_SPEAKER,"I wanted to say the #iPhoneX is awesome but I can’t. It sucks; no one can hear me &amp; it does not play voicemails. Stores won’t take it back. @AppleSupport @115858 @115714 @AppleSupport Thank you, will do right now.",GROUNDED,EVIDENCE_BACKED_ACTION,Settings → Sounds & Haptics → Adjust Volume slider → Check Do Not Disturb & Ring/Silent switch → Clean speaker mesh & disconnect Bluetooth accessories,"We'd like to help get this resolved. Here are the recommended troubleshooting steps:

1. Settings.
2. Check Settings > Sounds & Haptics to verify ringer volume and alerts.
3. Check Settings > Sounds & Haptics to verify ringer volume and alerts.
4. Check Do Not Disturb & Ring/Silent switch.
5. Clean speaker mesh & disconnect Bluetooth accessories.

Please let us know if this helps resolve the issue. For detailed steps, you can also reference: https://t.co/p5K3tcjbCl",PASS,True,None,NONE
