query,true_intent,baseline_top1,domain_top1,example_type,notes
Dear @AppleSupport: how do I fully reset an old iPhone that is mildly functional but so broken I can’t unlock it or actually reset it? @Appl,DISPLAY_TOUCH_SCREEN,ACCOUNT_APPLEID_ICLOUD,DISPLAY_TOUCH_SCREEN,CORRECTED_ERROR,Distinguishing symptom terms elevated DISPLAY_TOUCH_SCREEN over baseline ACCOUNT_APPLEID_ICLOUD.
"@AppleSupport HELP !🙏🏻 I’ve updated my IPhone 6S and I received a message asking me to change my password to unlock my IPhone, using capital",KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,MULTI_ISSUE_ESCALATION,Multiple symptoms detected; safely routed with decision_hint=ESCALATE_MULTI_ISSUE.
@115858 please fix this 👉🏽 I️ I️ I️ I️ @AppleSupport Thanks @AppleSupport my bug is fixed ❤️❤️,GENERAL_DEVICE_INQUIRY,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,CORRECTED_ERROR,Distinguishing symptom terms elevated GENERAL_DEVICE_INQUIRY over baseline OS_UPDATE_SYSTEM_PERFORMANCE.
"So @AppleSupport, I thought login screens were a solved problem https://t.co/jsrq8i1aQA @AppleSupport Restart resolves it, but as a develope",ACCOUNT_APPLEID_ICLOUD,OS_UPDATE_SYSTEM_PERFORMANCE,ACCOUNT_APPLEID_ICLOUD,CORRECTED_ERROR,Distinguishing symptom terms elevated ACCOUNT_APPLEID_ICLOUD over baseline OS_UPDATE_SYSTEM_PERFORMANCE.
@AppleSupport I am a technician helping a iPad user retrieve her Apple ID password. Does not have recovery email password and forgets the se,ACCOUNT_APPLEID_ICLOUD,CONNECTIVITY_WIFI_BLUETOOTH,ACCOUNT_APPLEID_ICLOUD,CORRECTED_ERROR,Distinguishing symptom terms elevated ACCOUNT_APPLEID_ICLOUD over baseline CONNECTIVITY_WIFI_BLUETOOTH.
"@AppleSupport Trying to install the free SAMs app but iTunes won’t let me. This is crazy, and my card is good. https://t.co/q58j2A0Ktf @Appl",CONNECTIVITY_WIFI_BLUETOOTH,APP_STORE_PURCHASES_BILLING,APP_STORE_PURCHASES_BILLING,MULTI_ISSUE_ESCALATION,Multiple symptoms detected; safely routed with decision_hint=ESCALATE_MULTI_ISSUE.
"@AppleSupport 11.1.1 update. Wi-fi no longer works. Can't toggle it on. @AppleSupport @AppleSupport iphone 5s @AppleSupport Yes, after 11.1.",CONNECTIVITY_WIFI_BLUETOOTH,CONNECTIVITY_WIFI_BLUETOOTH,CONNECTIVITY_WIFI_BLUETOOTH,MULTI_ISSUE_ESCALATION,Multiple symptoms detected; safely routed with decision_hint=ESCALATE_MULTI_ISSUE.
Downloaded latest IOS updates from @115858 &amp; phone hasn’t worked the same since. Forced to buy a new one. Coincidence? #Classy #Apple #i,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,GENERAL_DEVICE_INQUIRY,CONTEXT_DEBIASED,OS update context de-biased in favor of underlying OS_UPDATE_SYSTEM_PERFORMANCE symptom.
Photos in #macOS High Sierra is SO buggy — I can't imagine it was in a hand of a single QA. And I even waited till 10.13.1. @AppleSupport yo,BATTERY_CHARGING_POWER,GENERAL_DEVICE_INQUIRY,APP_CRASH_AND_DOWNLOAD,MULTI_ISSUE_ESCALATION,Multiple symptoms detected; safely routed with decision_hint=ESCALATE_MULTI_ISSUE.
I got to a decent tech support guy called James who grasped the hearing difficulties &amp; solved the iCloud problem painlessly and professi,ACCOUNT_APPLEID_ICLOUD,AUDIO_SOUND_SPEAKER,ACCOUNT_APPLEID_ICLOUD,CORRECTED_ERROR,Distinguishing symptom terms elevated ACCOUNT_APPLEID_ICLOUD over baseline AUDIO_SOUND_SPEAKER.
