case_id,customer_message,true_intent,predicted_intent,intent_confidence,top_similarity,intent_alignment,grounding_pass,grounding_severity,draft_reply,decision,reason_code,reason,ground_truth_label,ground_truth_rationale,classification_type
CASE_000294,@AppleSupport hi do you do additional memory for Ipad3? Thanks,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,0.2474352870921142,0.5704,0.3333,True,NONE,"We'd like to help get this sorted out. We'll help see why your iPad isn't syncing. Given the error, check out this article and see if it helps: https://t.co/czNgyf4Rgl Let us know if you have any questions along the way.",ESCALATE,WEAK_EVIDENCE,Top retrieval similarity (0.5704) is below the validated quality threshold (0.65).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE
CASE_001498,"@AppleSupport HELP !🙏🏻 I’ve updated my IPhone 6S and I received a message asking me to change my password to unlock my IPhone, using capital letters, lower case and digits. But now I can’t unlock my iPhone because the keyboard shows only digits. What can I do? 😭 @AppleSupport Thank you for your help, I have just sent you a DM 🙂",KEYBOARD_TYPING_AUTOCORRECT,ACCOUNT_APPLEID_ICLOUD,0.33332639535040465,0.6391,0.3333,True,NONE,"We'd like to help get this sorted out. We want to help! Have you updated to iOS 11.1 yet? If not, we recommend starting there. DM us if you have further issues. That sounds like a good plan! Please keep us updated on what happens. https://t.co/GDrqU22YpT Let us know if you have any questions along the way.",ESCALATE,WEAK_EVIDENCE,Top retrieval similarity (0.6391) is below the validated quality threshold (0.65).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE
CASE_005959,@115858 please fix this 👉🏽 I️ I️ I️ I️ @AppleSupport Thanks @AppleSupport my bug is fixed ❤️❤️,GENERAL_DEVICE_INQUIRY,GENERAL_DEVICE_INQUIRY,0.3737441801916295,0.8867,0.6667,True,NONE,We'd like to help get this sorted out. Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 You're welcome. We hope you have a great day! Let us know if you have any questions along the way.,ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.3737) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE
CASE_005217,@AppleSupport Is it okay to play online games with my iphone while charging the battery? @AppleSupport Thanks!,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,0.8758262489178967,0.6089,1.0,True,NONE,We'd be happy to help with this. That's a great question. Using your device while it's charging wouldn't affect your battery's life. Let us know if this helps resolve the issue.,ESCALATE,WEAK_EVIDENCE,Top retrieval similarity (0.6089) is below the validated quality threshold (0.65).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE
CASE_006100,Why the search tool on iOS 11 doesn’t find apps by name if they’re partially written? @AppleSupport,OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,0.719856153026762,0.7364,0.3333,True,NONE,"We'd like to help get this sorted out. Let's take a closer look at getting its search function working right. Which model is it and which exact iOS 11 version? If you check out the following link, do you have anything disabled in the Search settings? https://t.co/C5o3PCtNd0 We're glad to hear that you're back up and running. Reach out to us if you need further help in the future. Let us know if you have any questions along the way.",ESCALATE,CONFLICTING_EVIDENCE,Retrieved historical evidence contains conflicting troubleshooting paths or fragmented intents.,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE
CASE_003711,"Yo, @115858 and @AppleSupport, fix your uppercased letter “i” issue. @AppleSupport @485691 Go beta, @485691! 11.1 seems to have it fixed. I I i I i I i I i I i I i I i I.",GENERAL_DEVICE_INQUIRY,KEYBOARD_TYPING_AUTOCORRECT,0.5574990447854886,0.8645,0.0,True,NONE,We'd like to help get this sorted out. Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 You're very welcome. Let us know if you have any questions along the way.,ESCALATE,INTENT_EVIDENCE_MISMATCH,Retrieved evidence intent alignment (0.00%) is below the validated alignment threshold (66.00%).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE
CASE_005348,".@115858 this I️ glitch is the worst thing ever. How is this not fixed yet??? @AppleSupport Thank you for your response.  I have done that, but seriously...  This is an all-time awful problem. In my opinion, the all time worst non-security related problem.",OS_UPDATE_SYSTEM_PERFORMANCE,OS_UPDATE_SYSTEM_PERFORMANCE,0.2851023837144673,0.7391,1.0,True,NONE,We'd like to help get this sorted out. We understand how important being able to enter accurate text is. Please follow the steps here: https://t.co/sDSg93LaFu Let us know if you have any questions along the way.,ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.2851) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE
CASE_007681,Somebody help a dude out. @115858 my iPod just completely froze like this for the last two hours and the touch screen doesn't work and I can't shut it down. Please help https://t.co/3Mq6WwYvwn @AppleSupport Thank you apple,DISPLAY_TOUCH_SCREEN,DISPLAY_TOUCH_SCREEN,0.5372076050284408,0.7101,0.3333,True,NONE,"We'd like to help get this sorted out. We'd like to help. DM us and tell us which version of iOS you're running under Settings &gt; General &gt; About. https://t.co/GDrqU22YpT Nice work. We're glad you got it working again. Should you have a question or concern in the future, we'll be here for you. Let us know if you have any questions along the way.",ESCALATE,INTENT_EVIDENCE_MISMATCH,Retrieved evidence intent alignment (33.33%) is below the validated alignment threshold (66.00%).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE
CASE_003090,#IphoneXPreOrder #iPhoneX @AppleSupport still no confirmation email in regards to my ‘reserved’ iPhone because of ‘couldn’t reach carrier’ @432099 @AppleSupport Same @AppleSupport Thank u @AppleSupport @432099 That’s baloney.  I contacted Apple support and all they could say was to be patient- it’s been over 10 hours - Apple support is useless @AppleSupport @432273 I am too @AppleSupport @432273 I’m waiting as well and Apple support just tells you to be patient- I think 10+ hours is more than patient to get a confirmation email @AppleSupport All good! Got my email! Thanks! @432274 @AppleSupport @432273 I’ve been waiting 10+ hours with no email to confirm order. @AppleSupport @432273 Still haven't gotten my email #IphoneXPreOrder #iPhoneX,CONNECTIVITY_WIFI_BLUETOOTH,GENERAL_DEVICE_INQUIRY,0.21190715552846567,0.7779,0.6667,True,NONE,"We'd like to help get this sorted out. We want to help. Have you checked your Junk mail folders to see if it arrived there? Glad to hear that has appeared. For any questions about your shipping date, reach out to our sales team: https://t.co/8yjRd1Xo0i Let us know if you have any questions along the way.",ESCALATE,LOW_INTENT_CONFIDENCE,Predicted intent confidence (0.2119) is below the validated confidence threshold (0.60).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE
CASE_003204,"Dear @917 and @115858, my iphone just died on 78% while trying to send a snap - WAGWAN? I love #snapchat but I feel I can't use it without my #iphone cutting out on me?!?! @AppleSupport Thank you! Yes only Snapchat, I'm using 11.0.3 @AppleSupport I have downloaded new software update. Just opened snapchat and my iPhone jumped from 73% to 20% :( as soon as I plugged it in to charge, it jumped straight up again :/ @AppleSupport So I have had my phone off and on again if that counts as restarting? I am happy to do a reset. Just now I sent a video snap and it went from 95% to 1% and then plugged it in and went up to 87%. Opened Twitter to reply and has dropped to 33%. V confusing!! @AppleSupport @442420 I had pretty much the same thing (Battery dropping from 70% to 0%). But not just Snapchat, rather all apps. Reason turned out to be battery burned out. They can test for that online. Got new battery installed at Apple store and everything back to normal",BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,0.6418993250618397,0.6316,1.0,True,NONE,"We'd like to help get this sorted out. Let us look into this concern with your battery. This is absolutely not an expectation. What's the iPhone model? Can you let us know what version of iOS you’re using? To check, go to Settings &gt; General &gt; About. We have more battery optimization tips online here: https://t.co/bivpdfBNJ6 Send us a DM to keep us updated on what happens. https://t.co/GDrqU22YpT Sounds great. Let's reconnect if the issue persists. Feel free to DM us any time. Have a great day! https://t.co/GDrqU22YpT Let us know if you have any questions along the way.",ESCALATE,WEAK_EVIDENCE,Top retrieval similarity (0.6316) is below the validated quality threshold (0.65).,SAFE_TO_AUTO_HANDLE,Well-defined customer issue with matching historical resolution evidence.,FALSE_ESCALATE
